s1	n_true	n_true_s2	n_true_s3	validation
S1-622026573	3	2	1	0
S1-915149493	4	2	2	0
S1-836720513	5	3	2	0
S1-960734439	3	2	1	1
S1-254263412	3	1	2	0
S1-792435938	4	2	2	0
S1-347107208	5	1	4	0
S1-157788009	0	0	0	0
S1-184941360	2	2	0	0
S1-919200401	5	2	3	0
S1-213935895	3	2	1	0
S1-93570523	2	1	1	0
S1-621696589	5	4	1	0
S1-135642519	5	1	4	0
S1-882537512	3	2	1	0
S1-703289878	3	2	1	0
S1-498453299	2	1	1	0
S1-536475371	3	1	2	0
S1-487205113	4	0	4	0
S1-19180316	5	2	3	0
S1-528045266	5	2	3	0
S1-480898832	0	0	0	0
S1-915107118	3	1	2	0
S1-904474730	5	2	3	0
S1-13756671	1	1	0	0
S1-558077075	0	0	0	0
S1-786054543	5	0	5	0
S1-938437234	4	2	2	0
S1-363712269	4	3	1	0
S1-810207834	4	2	2	0
S1-598141425	4	2	2	1
S1-308958530	2	0	2	0
S1-921012687	3	1	2	1
S1-577817081	4	3	1	0
S1-73705135	3	2	1	0
S1-638976623	3	2	1	0
S1-476736519	3	2	1	0
S1-892708995	6	3	3	0
S1-405659542	0	0	0	1
S1-173781994	4	1	3	0
S1-600678953	4	3	1	1
S1-687950073	5	2	3	0
S1-758061369	3	1	2	0
S1-393721506	3	2	1	0
S1-423565136	4	2	2	1
S1-163908522	4	2	2	0
S1-154021009	2	0	2	0
S1-993694226	3	2	1	0
S1-728087785	7	3	4	0
S1-49466556	1	0	1	0
S1-371564705	4	3	1	0
S1-725150587	6	3	3	0
S1-564036616	2	0	2	0
S1-317690865	1	1	0	0
S1-616841770	0	0	0	0
S1-284185233	2	1	1	0
S1-621118285	5	3	2	0
S1-217016822	4	4	0	0
S1-611374288	6	4	2	0
S1-780524694	2	1	1	0
S1-128928910	3	2	1	0
S1-690362163	5	1	4	0
S1-711244339	7	4	3	0
S1-348059703	2	1	1	0
S1-814244773	3	1	2	0
S1-639424526	4	1	3	0
S1-917467694	3	2	1	0
S1-958605404	4	1	3	0
S1-7790352	6	4	2	0
S1-710777044	4	1	3	1
S1-212190647	2	1	1	0
S1-194621944	2	2	0	0
S1-717725748	1	1	0	0
S1-458530988	4	1	3	1
S1-136645993	6	2	4	0
S1-923414026	4	1	3	0
S1-529224205	8	4	4	0
S1-909787205	3	1	2	0
S1-939775030	5	1	4	0
S1-971872731	1	1	0	0
S1-214520990	0	0	0	0
S1-51717185	0	0	0	1
S1-91254029	4	3	1	0
S1-366446177	7	3	4	1
S1-191695640	9	4	5	0
S1-357173307	1	0	1	0
S1-124664286	0	0	0	0
S1-52054281	4	2	2	1
S1-431867032	5	3	2	1
S1-183086200	6	3	3	0
S1-680548724	3	1	2	0
S1-300961048	2	1	1	0
S1-959140734	0	0	0	0
S1-795935340	2	1	1	1
S1-561586777	3	1	2	0
S1-232749314	5	3	2	0
S1-970453713	3	2	1	1
S1-651711301	6	3	3	0
S1-123279797	0	0	0	1
S1-327325151	5	3	2	1
S1-191406032	3	2	1	1
S1-538751082	1	1	0	1
S1-61408376	2	1	1	1
S1-243072911	4	2	2	0
S1-682076324	2	1	1	0
S1-83064494	5	2	3	1
S1-954668731	4	1	3	1
S1-412879852	0	0	0	0
S1-204303811	5	4	1	0
S1-881767188	3	1	2	0
S1-838913747	6	2	4	0
S1-77423700	3	1	2	1
S1-35370852	7	3	4	0
S1-106156428	5	4	1	0
S1-178982122	3	1	2	0
S1-55364048	4	2	2	0
S1-373432676	4	3	1	0
S1-108573058	1	0	1	0
S1-865801460	2	2	0	0
S1-425841322	2	1	1	0
S1-850861740	3	2	1	1
S1-335301031	4	2	2	1
S1-653846616	3	1	2	0
S1-169338169	5	3	2	0
S1-468950898	1	0	1	0
S1-424158750	3	1	2	1
S1-549572357	4	3	1	0
S1-970570026	3	1	2	0
S1-345521170	6	1	5	0
S1-597643775	2	1	1	1
S1-441247462	2	1	1	0
S1-277252427	0	0	0	1
S1-491584669	4	3	1	0
S1-292037060	3	0	3	0
S1-621881637	2	1	1	0
S1-225765248	3	1	2	0
S1-100930840	4	2	2	1
S1-827404843	2	1	1	0
S1-43179162	4	2	2	0
S1-363374351	0	0	0	0
S1-126681683	3	1	2	1
S1-799766613	3	2	1	0
S1-135539670	2	0	2	0
S1-746683686	4	2	2	0
S1-71059788	0	0	0	0
S1-79836286	0	0	0	0
S1-144070569	5	4	1	1
S1-455385190	3	2	1	1
S1-515405708	4	3	1	0
S1-899355168	1	1	0	0
S1-891081851	2	1	1	0
S1-733831514	5	1	4	0
S1-557253466	4	2	2	0
S1-743654289	5	2	3	0
S1-545392608	3	2	1	1
S1-907037029	6	2	4	1
S1-49915991	7	4	3	0
S1-461625528	6	4	2	0
S1-657485263	2	2	0	1
S1-844650108	5	4	1	0
S1-159431942	2	2	0	0
S1-568546215	4	2	2	0
S1-61826424	4	1	3	0
S1-966430807	2	1	1	0
S1-996433364	3	2	1	0
S1-878130687	3	1	2	1
S1-81939319	5	2	3	1
S1-463759505	5	1	4	0
S1-63667775	3	0	3	0
S1-55102023	5	3	2	0
S1-809883172	2	0	2	0
S1-928880829	5	2	3	0
S1-670927004	3	3	0	0
S1-401153469	3	3	0	0
S1-247794943	2	0	2	0
S1-702065685	7	4	3	1
S1-365231028	4	3	1	0
S1-350132104	5	3	2	0
S1-287698956	2	1	1	0
S1-354973856	2	2	0	0
S1-724460143	5	0	5	0
S1-92120993	5	3	2	0
S1-920210928	2	1	1	0
S1-436436807	0	0	0	0
S1-71482987	5	1	4	0
S1-18393760	4	2	2	0
S1-977331326	7	5	2	0
S1-959672123	4	1	3	0
S1-272849486	4	2	2	1
S1-530496673	4	3	1	0
S1-862544798	4	3	1	1
S1-960659992	3	2	1	0
S1-903065271	7	4	3	0
S1-694315802	2	1	1	0
S1-695691073	3	2	1	1
S1-487534078	4	3	1	0
S1-936115324	5	3	2	0
S1-393211938	4	2	2	0
S1-333168114	4	3	1	0
S1-404129787	3	2	1	1
S1-645943279	3	2	1	0
S1-584674725	3	2	1	0
S1-13499422	2	1	1	0
S1-847347269	7	4	3	1
S1-878398299	4	2	2	0
S1-487755040	3	1	2	0
S1-560609838	3	1	2	0
S1-795082525	6	3	3	0
S1-212876759	3	1	2	0
S1-147784198	3	1	2	0
S1-288036039	4	2	2	0
S1-427446240	4	3	1	0
S1-202173657	3	2	1	0
S1-983772416	4	2	2	1
S1-166820303	5	2	3	0
S1-620874858	4	3	1	1
S1-767109221	4	2	2	1
S1-460253380	4	2	2	0
S1-814825607	2	1	1	0
S1-659475289	3	3	0	0
S1-291763333	2	1	1	0
S1-688083761	7	4	3	0
S1-504933019	1	1	0	0
S1-995235655	4	2	2	1
S1-385307649	3	1	2	0
S1-20116005	3	2	1	0
S1-932906903	2	1	1	1
S1-623993543	2	1	1	1
S1-61699228	2	1	1	0
S1-294888631	3	3	0	0
S1-114356496	6	3	3	0
S1-865910693	3	0	3	0
S1-680364136	3	1	2	0
S1-131633754	0	0	0	0
S1-994634360	5	2	3	0
S1-866535168	8	4	4	1
S1-898454707	5	3	2	0
S1-648649650	3	1	2	0
S1-908451123	6	3	3	0
S1-62899637	3	2	1	0
S1-553533042	4	2	2	1
S1-173123445	3	1	2	0
S1-313448121	4	0	4	0
S1-952865119	5	3	2	0
S1-916987221	3	2	1	0
S1-147180288	4	2	2	1
S1-299141700	5	3	2	0
S1-738237888	5	4	1	0
S1-206530017	0	0	0	0
S1-427344860	4	1	3	0
S1-278907918	7	5	2	0
S1-155335385	2	1	1	0
S1-752578023	3	2	1	0
S1-422360244	9	5	4	0
S1-15907098	5	2	3	0
S1-794424036	7	5	2	0
S1-736840695	3	1	2	0
S1-926408382	5	2	3	0
S1-773670983	4	1	3	0
S1-586070670	4	1	3	0
S1-423513289	2	1	1	0
S1-459501795	7	3	4	0
S1-919856265	4	1	3	1
S1-995723024	2	2	0	0
S1-213733425	1	1	0	0
S1-222335156	5	4	1	0
S1-373516555	1	1	0	0
S1-974697730	4	1	3	0
S1-307581912	3	1	2	0
S1-868100106	4	1	3	1
S1-810848610	2	1	1	0
S1-341564472	3	1	2	0
S1-788224716	2	1	1	0
S1-728279659	8	3	5	1
S1-736070413	4	0	4	0
S1-367291716	1	0	1	1
S1-212984060	4	2	2	0
S1-402439052	6	3	3	1
S1-721469485	3	2	1	0
S1-757025063	3	1	2	0
S1-678417684	1	0	1	1
S1-215236345	4	2	2	0
S1-719693602	2	1	1	0
S1-157075971	3	2	1	0
S1-298926490	2	1	1	0
S1-55338353	4	1	3	0
S1-727807753	4	4	0	0
S1-472129133	4	2	2	0
S1-330827982	3	1	2	0
S1-813025320	5	2	3	1
S1-799097253	1	1	0	0
S1-715979163	4	2	2	0
S1-392507986	2	2	0	0
S1-32040673	6	3	3	0
S1-771832824	3	1	2	0
S1-995710811	2	1	1	0
S1-419877116	3	1	2	0
S1-853863544	3	3	0	0
S1-570624954	6	5	1	0
S1-137454868	5	3	2	0
S1-723496429	0	0	0	0
S1-681145529	4	2	2	1
S1-240916563	3	2	1	1
S1-609730619	2	1	1	0
S1-876907974	3	2	1	0
S1-938180424	3	3	0	0
S1-141266793	1	1	0	0
S1-558526383	3	2	1	0
S1-36216088	3	3	0	0
S1-305647610	3	1	2	0
S1-940529505	3	1	2	0
S1-192556732	1	1	0	0
S1-661891187	5	2	3	0
S1-393240482	5	3	2	0
S1-637409276	3	2	1	0
S1-35908111	4	1	3	1
S1-767778690	2	1	1	1
S1-10102573	3	2	1	0
S1-840632970	5	3	2	0
S1-569851683	0	0	0	0
S1-683148514	4	3	1	0
S1-888822084	5	2	3	1
S1-856866453	4	2	2	0
S1-144659903	5	4	1	0
S1-563007972	4	3	1	0
S1-91646506	6	2	4	0
S1-356111943	6	4	2	0
S1-751253099	4	4	0	0
S1-710550587	6	3	3	0
S1-531734907	2	1	1	0
S1-313764026	3	2	1	0
S1-229036658	5	3	2	0
S1-332101711	5	2	3	0
S1-717055044	6	3	3	1
S1-149583117	4	3	1	0
S1-934952873	5	1	4	0
S1-596665846	2	1	1	0
S1-687967252	6	3	3	1
S1-762218444	5	4	1	0
S1-786819975	2	1	1	0
S1-386005269	4	2	2	0
S1-226090714	4	1	3	0
S1-177016509	1	0	1	0
S1-228806910	0	0	0	0
S1-820932784	2	0	2	1
S1-230308182	3	1	2	1
S1-977062079	5	0	5	0
S1-137434441	3	1	2	0
S1-996635275	2	1	1	0
S1-519878511	4	2	2	0
S1-694830809	5	4	1	0
S1-217793004	4	1	3	0
S1-197541434	3	1	2	1
S1-364479937	2	1	1	1
S1-516245246	5	3	2	0
S1-328457260	2	1	1	0
S1-581606301	5	1	4	0
S1-526590712	4	3	1	0
S1-602222388	4	1	3	1
S1-574028897	3	2	1	0
S1-118999534	4	2	2	0
S1-500140736	8	5	3	0
S1-650487601	6	3	3	0
S1-640494271	5	4	1	0
S1-754204824	5	3	2	0
S1-600663022	4	3	1	0
S1-878217034	4	2	2	0
S1-374766299	2	1	1	0
S1-199702910	2	1	1	0
S1-274854864	3	1	2	0
S1-894414661	6	3	3	0
S1-336713437	5	2	3	0
S1-677745439	2	1	1	0
S1-319675725	3	2	1	0
S1-15105893	3	1	2	0
S1-95328301	2	1	1	0
S1-462157371	3	2	1	0
S1-205635108	4	2	2	1
S1-248527077	6	4	2	1
S1-882546163	8	5	3	0
S1-912114336	4	1	3	0
S1-36817212	3	1	2	0
S1-145817527	4	2	2	1
S1-969793169	6	3	3	0
S1-984826563	7	4	3	1
S1-736381003	4	2	2	0
S1-518192073	1	0	1	0
S1-476520565	5	3	2	0
S1-86825383	5	3	2	0
S1-5015677	2	1	1	0
S1-343226247	5	3	2	0
S1-468256744	3	1	2	1
S1-685106343	4	2	2	1
S1-429266588	6	4	2	0
S1-847541903	2	1	1	0
S1-96425143	1	0	1	0
S1-417264153	0	0	0	0
S1-51846404	4	2	2	1
S1-65033837	3	2	1	0
S1-715549935	2	1	1	1
S1-223810919	1	0	1	0
S1-27485328	1	1	0	0
S1-9540168	4	2	2	0
S1-617063301	2	1	1	1
S1-126022071	5	3	2	0
S1-191510054	2	1	1	0
S1-211899846	3	3	0	1
S1-53407617	3	2	1	1
S1-768411321	0	0	0	1
S1-116176160	2	1	1	1
S1-179360994	4	4	0	1
S1-908230405	2	1	1	0
S1-660980751	6	3	3	1
S1-241179264	0	0	0	0
S1-516208132	2	1	1	0
S1-901076896	5	2	3	0
S1-987449355	3	1	2	1
S1-618552816	2	0	2	0
S1-478922381	6	3	3	0
S1-231333182	5	1	4	1
S1-298582507	2	1	1	0
S1-14592397	5	2	3	0
S1-214392480	5	2	3	0
S1-218751276	2	1	1	0
S1-641063039	5	3	2	0
S1-11248736	5	2	3	0
S1-549126346	2	0	2	0
S1-252548173	4	2	2	1
S1-786921563	0	0	0	0
S1-888854475	3	2	1	1
S1-95746959	4	3	1	0
S1-719182631	5	2	3	0
S1-793333566	4	1	3	0
S1-306300800	5	4	1	0
S1-805848052	6	2	4	0
S1-772067006	3	1	2	0
S1-815558518	3	0	3	0
S1-328964126	6	3	3	0
S1-614753089	2	1	1	0
S1-343805152	4	1	3	0
S1-330298408	2	0	2	0
S1-76326381	1	1	0	0
S1-982236416	3	1	2	0
S1-659685573	2	1	1	0
S1-303931070	6	2	4	1
S1-189418774	4	3	1	1
S1-493083663	2	1	1	0
S1-796168118	5	2	3	0
S1-103134527	8	5	3	0
S1-397344342	3	1	2	0
S1-733371127	4	2	2	0
S1-917282654	4	3	1	1
S1-728212777	1	1	0	0
S1-174064733	5	2	3	0
S1-388909305	6	3	3	1
S1-952774802	4	3	1	0
S1-183078285	4	2	2	0
S1-866696943	4	1	3	0
S1-772957157	3	1	2	0
S1-460772936	4	1	3	0
S1-873753008	4	4	0	0
S1-516699055	2	1	1	0
S1-648834232	4	1	3	0
S1-313908928	5	2	3	0
S1-623502162	4	1	3	1
S1-296015030	2	1	1	0
S1-449644448	3	2	1	1
S1-269898915	4	1	3	1
S1-107342195	5	4	1	1
S1-123044933	3	2	1	1
S1-742300610	3	2	1	0
S1-758796994	4	1	3	0
S1-917938106	4	1	3	0
S1-918127060	2	2	0	0
S1-649388587	5	2	3	0
S1-18366060	2	0	2	0
S1-48489481	3	1	2	0
S1-95459299	3	1	2	0
S1-939011131	4	3	1	0
S1-34207263	4	3	1	0
S1-262607037	3	1	2	0
S1-442809021	4	2	2	0
S1-957571974	3	1	2	0
S1-843039135	2	0	2	0
S1-353714242	3	2	1	0
S1-255575484	3	1	2	0
S1-684607059	3	2	1	1
S1-418379307	4	1	3	0
S1-465834904	4	1	3	0
S1-49623138	3	1	2	0
S1-857616955	2	1	1	0
S1-778694907	3	2	1	0
S1-584121250	4	2	2	0
S1-961600367	2	1	1	0
S1-330645946	4	2	2	0
S1-728807709	0	0	0	0
S1-231386917	5	1	4	0
S1-99996841	4	2	2	0
S1-704592953	3	1	2	1
S1-671872962	5	2	3	0
S1-632165053	3	1	2	0
S1-385515723	3	1	2	1
S1-963573260	3	1	2	0
S1-292950238	2	1	1	0
S1-736269271	1	0	1	0
S1-597819757	7	2	5	0
S1-924354290	1	1	0	0
S1-490657573	5	3	2	0
S1-44994797	2	1	1	0
S1-478264034	6	1	5	1
S1-447199310	0	0	0	0
S1-527328101	0	0	0	1
S1-116838967	1	1	0	1
S1-113996465	7	2	5	1
S1-340781155	4	2	2	0
S1-175389879	5	3	2	0
S1-691462100	3	1	2	0
S1-44682741	4	3	1	0
S1-531360021	4	1	3	0
S1-517913363	3	2	1	0
S1-10785361	5	3	2	1
S1-215407139	1	1	0	0
S1-984007173	2	1	1	1
S1-876109868	6	1	5	1
S1-289827270	5	3	2	0
S1-197231225	2	0	2	0
S1-805270858	4	3	1	0
S1-58884296	4	2	2	0
S1-714522366	4	2	2	0
S1-148985546	3	1	2	0
S1-330267378	6	2	4	0
S1-259231209	3	1	2	0
S1-361411648	2	1	1	0
S1-749816943	3	1	2	0
S1-565041778	4	2	2	0
S1-55732863	3	2	1	0
S1-389390610	1	1	0	0
S1-934437685	3	2	1	0
S1-645983622	8	5	3	1
S1-215401687	1	1	0	0
S1-26315072	4	3	1	0
S1-204781782	5	1	4	0
S1-907491220	5	4	1	0
S1-846409834	2	0	2	0
S1-148546092	0	0	0	0
S1-501918626	3	2	1	0
S1-677481056	5	2	3	0
S1-585559117	2	1	1	0
S1-153594731	5	2	3	0
S1-242559263	3	2	1	0
S1-419296719	3	1	2	0
S1-516646740	2	0	2	0
S1-855843830	5	2	3	0
S1-386951554	5	3	2	1
S1-386973910	1	0	1	0
S1-521562487	3	2	1	0
S1-559939248	7	4	3	0
S1-288405802	3	2	1	1
S1-246724659	3	1	2	0
S1-434902583	2	1	1	0
S1-682105398	3	1	2	0
S1-59915191	4	0	4	0
S1-701755240	1	1	0	0
S1-945163293	6	2	4	0
S1-499777510	2	1	1	1
S1-171806896	0	0	0	1
S1-560420238	3	3	0	0
S1-551253529	3	2	1	0
S1-405283092	4	3	1	0
S1-480575773	4	2	2	0
S1-33748534	3	2	1	0
S1-621535340	0	0	0	0
S1-422100345	2	1	1	1
S1-803580797	3	1	2	0
S1-531691551	4	1	3	0
S1-978280958	2	0	2	0
S1-94102570	2	0	2	1
S1-381081367	0	0	0	1
S1-975591226	2	1	1	1
S1-970809777	4	2	2	0
S1-747608944	3	0	3	0
S1-546811529	3	1	2	0
S1-756211099	4	2	2	0
S1-34775374	3	2	1	0
S1-146648619	4	1	3	0
S1-880798252	0	0	0	0
S1-199752364	4	3	1	0
S1-644232250	5	2	3	0
S1-101455819	2	2	0	1
S1-947167341	2	1	1	0
S1-662088078	8	3	5	0
S1-119907076	5	2	3	0
S1-70727123	2	2	0	0
S1-425919631	5	2	3	0
S1-67011397	3	1	2	1
S1-977293578	0	0	0	0
S1-403235789	4	2	2	0
S1-813688550	2	1	1	0
S1-106433739	5	2	3	0
S1-137573948	1	0	1	1
S1-456624929	4	1	3	1
S1-551591104	5	3	2	0
S1-291633217	4	1	3	0
S1-483656360	3	2	1	0
S1-514695089	4	2	2	0
S1-765690318	6	2	4	0
S1-210267405	3	1	2	0
S1-950459000	2	1	1	0
S1-14800692	4	3	1	1
S1-348079453	0	0	0	0
S1-107141821	4	3	1	0
S1-864524700	3	2	1	0
S1-179526359	5	4	1	0
S1-325182538	3	3	0	1
S1-715573425	4	4	0	1
S1-543914144	0	0	0	0
S1-466548212	7	3	4	1
S1-869880798	5	3	2	0
S1-170088788	7	5	2	0
S1-410332444	4	1	3	0
S1-738259063	5	2	3	1
S1-834350425	3	2	1	0
S1-874737188	4	1	3	0
S1-813704733	4	1	3	0
S1-892125228	1	1	0	1
S1-190269237	0	0	0	0
S1-139707378	3	2	1	0
S1-356545179	7	3	4	0
S1-777219728	0	0	0	0
S1-412124814	4	1	3	1
S1-261411265	3	1	2	0
S1-7665638	5	2	3	0
S1-944788444	5	1	4	0
S1-662913168	0	0	0	1
S1-604240541	0	0	0	0
S1-339424423	3	2	1	1
S1-248161353	5	2	3	1
S1-86197475	5	2	3	0
S1-426253938	8	4	4	0
S1-39136321	1	0	1	1
S1-633499368	3	2	1	0
S1-544838769	4	2	2	1
S1-518358553	2	0	2	0
S1-251057654	2	0	2	1
S1-913450824	2	1	1	0
S1-557717007	3	1	2	0
S1-568113086	1	0	1	1
S1-412022174	3	1	2	1
S1-964693711	5	3	2	0
S1-940484043	6	2	4	0
S1-606541764	7	2	5	1
S1-164586919	4	3	1	1
S1-115578314	4	3	1	0
S1-949002960	0	0	0	0
S1-666512325	4	2	2	0
S1-706970785	5	4	1	0
S1-896392732	4	2	2	0
S1-106109264	4	1	3	0
S1-374870966	0	0	0	0
S1-800309662	0	0	0	1
S1-29880047	2	1	1	0
S1-33315303	2	1	1	1
S1-523910636	5	2	3	1
S1-727129197	5	2	3	1
S1-983821055	5	2	3	0
S1-497053330	3	2	1	0
S1-913304074	2	1	1	1
S1-208148903	2	1	1	0
S1-149549229	3	1	2	0
S1-536101922	5	3	2	1
S1-156992521	3	2	1	0
S1-359440945	5	2	3	0
S1-82116945	4	3	1	1
S1-875452933	4	1	3	0
S1-356968386	4	3	1	0
S1-740565737	5	2	3	0
S1-191799974	2	0	2	0
S1-970887052	2	2	0	0
S1-662514886	6	2	4	0
S1-375092160	3	1	2	1
S1-956911126	0	0	0	0
S1-950178430	5	2	3	0
S1-382419422	6	3	3	1
S1-296222697	2	1	1	0
S1-562065927	0	0	0	0
S1-577676560	3	2	1	0
S1-644746522	2	1	1	0
S1-450263373	4	2	2	0
S1-587254698	4	1	3	0
S1-491036425	4	1	3	0
S1-612894094	4	2	2	1
S1-435820103	6	1	5	1
S1-183878283	5	2	3	1
S1-861282833	1	0	1	1
S1-905741141	6	2	4	0
S1-534222917	4	2	2	0
S1-357792520	4	0	4	0
S1-648965400	5	3	2	0
S1-923082612	4	4	0	0
S1-891495594	3	1	2	0
S1-771021108	4	3	1	1
S1-119033930	3	1	2	0
S1-529601941	5	4	1	0
S1-937940953	0	0	0	0
S1-177357455	2	0	2	0
S1-385749908	3	1	2	0
S1-50227799	2	1	1	0
S1-815507756	5	2	3	0
S1-365825276	1	0	1	0
S1-132586451	2	1	1	0
S1-445742098	5	1	4	0
S1-23015614	3	1	2	1
S1-757243419	6	3	3	0
S1-610913484	3	0	3	0
S1-635875507	6	2	4	0
S1-503075350	0	0	0	0
S1-70196606	4	2	2	0
S1-799964596	4	3	1	0
S1-832639493	5	1	4	1
S1-200103720	4	2	2	0
S1-816688728	4	2	2	1
S1-460500435	5	1	4	1
S1-701957104	2	1	1	0
S1-758883837	3	2	1	0
S1-555507211	2	0	2	1
S1-951832034	6	2	4	0
S1-388848116	3	2	1	0
S1-910862153	2	1	1	0
S1-833899481	4	1	3	0
S1-298207223	2	1	1	1
S1-208975358	3	2	1	0
S1-799437955	1	1	0	0
S1-872743834	2	1	1	0
S1-491611009	3	1	2	0
S1-896609752	3	1	2	0
S1-582627592	4	2	2	0
S1-68553889	6	1	5	0
S1-530115401	7	4	3	0
S1-522995114	2	1	1	0
S1-983913629	3	1	2	0
S1-294321565	3	1	2	0
S1-377302225	2	1	1	0
S1-905970881	7	4	3	0
S1-436247087	5	2	3	1
S1-832013713	3	1	2	1
S1-895636331	3	0	3	0
S1-551794426	0	0	0	0
S1-378057666	2	1	1	0
S1-26091573	6	3	3	0
S1-636400330	4	1	3	0
S1-262613671	2	1	1	0
S1-993002499	1	1	0	0
S1-621525044	1	1	0	0
S1-720025982	2	1	1	0
S1-244290455	3	2	1	0
S1-855232443	3	2	1	0
S1-784435931	3	1	2	0
S1-449790619	3	1	2	0
S1-965136941	2	1	1	0
S1-364062615	1	1	0	0
S1-859646385	5	3	2	0
S1-588225957	5	1	4	1
S1-353305356	4	2	2	0
S1-221722421	2	2	0	0
S1-591618197	2	0	2	0
S1-730053046	3	0	3	1
S1-481941838	3	1	2	0
S1-652289915	2	1	1	0
S1-579262017	3	1	2	0
S1-813164674	4	1	3	0
S1-543946508	4	2	2	0
S1-808070558	0	0	0	0
S1-44785280	2	2	0	1
S1-215073370	7	3	4	0
S1-411457620	5	3	2	0
S1-108400852	3	1	2	0
S1-56182119	2	1	1	0
S1-680659137	6	2	4	0
S1-944986698	4	1	3	0
S1-562404724	3	1	2	0
S1-511265076	8	4	4	0
S1-223673697	4	1	3	0
S1-360176724	3	2	1	0
S1-211517658	5	3	2	0
S1-797555344	6	2	4	0
S1-805319803	4	3	1	1
S1-898367677	1	1	0	0
S1-548313307	4	3	1	0
S1-106051118	2	1	1	0
S1-7393162	6	2	4	1
S1-735141965	1	0	1	0
S1-271049848	1	0	1	0
S1-934706080	3	2	1	0
S1-718875161	2	1	1	0
S1-439486590	3	1	2	0
S1-248915792	4	1	3	0
S1-29108056	0	0	0	0
S1-238357840	3	1	2	0
S1-875191914	6	3	3	0
S1-531678758	2	2	0	0
S1-181342679	5	2	3	1
S1-805836305	0	0	0	1
S1-309089131	4	1	3	0
S1-288894462	3	0	3	0
S1-500410647	6	2	4	0
S1-758817732	5	3	2	1
S1-250629664	4	0	4	0
S1-611567543	4	2	2	0
S1-837542024	4	3	1	0
S1-789844585	3	1	2	0
S1-36836324	2	1	1	0
S1-356997839	5	3	2	0
S1-566557608	2	1	1	1
S1-516914537	4	2	2	0
S1-587871007	3	3	0	1
S1-386601124	4	2	2	0
S1-911146384	4	2	2	1
S1-888954397	6	1	5	1
S1-145586901	0	0	0	0
S1-356528508	4	1	3	1
S1-947976443	5	3	2	0
S1-622802949	3	2	1	1
S1-538210669	3	1	2	0
S1-145624782	3	1	2	0
S1-521322892	4	1	3	1
S1-659818013	0	0	0	0
S1-988630610	4	3	1	0
S1-300337615	5	2	3	0
S1-775895264	6	3	3	0
S1-934827282	3	1	2	0
S1-444217826	4	3	1	0
S1-268709477	5	2	3	0
S1-407942647	3	2	1	0
S1-227153024	4	1	3	0
S1-375777792	2	1	1	0
S1-967303502	4	1	3	0
S1-175828265	4	2	2	0
S1-29137178	4	2	2	0
S1-676498042	1	0	1	0
S1-54589569	4	2	2	0
S1-64345142	6	3	3	0
S1-171143525	4	1	3	0
S1-608108924	4	3	1	0
S1-231813210	6	2	4	1
S1-935288892	3	2	1	0
S1-291831548	2	1	1	0
S1-483967842	3	2	1	0
S1-50047731	2	1	1	1
S1-250070625	4	1	3	0
S1-45275723	2	2	0	1
S1-327962609	0	0	0	0
S1-166475923	0	0	0	0
S1-26469428	5	1	4	0
S1-210689989	4	3	1	0
S1-567019924	3	1	2	0
S1-215959948	4	0	4	0
S1-723720736	4	2	2	0
S1-376857040	3	2	1	0
S1-122945454	4	2	2	0
S1-423892847	7	2	5	0
S1-975869163	6	4	2	0
S1-889906081	5	1	4	1
S1-75954230	1	1	0	0
S1-115854912	6	2	4	0
S1-347233221	5	2	3	0
S1-686372655	5	2	3	0
S1-883262818	5	3	2	0
S1-181798488	3	1	2	0
S1-539022076	3	1	2	0
S1-605399193	5	4	1	0
S1-346681735	2	2	0	0
S1-988004072	4	2	2	0
S1-821657459	5	3	2	0
S1-498723661	1	0	1	0
S1-718773890	2	1	1	0
S1-673693814	3	1	2	0
S1-358601891	4	1	3	1
S1-104233032	3	1	2	1
S1-958911526	7	3	4	0
S1-909124724	2	1	1	0
S1-740649186	6	4	2	0
S1-350567233	3	2	1	0
S1-916370214	4	2	2	0
S1-327383978	4	2	2	0
S1-177507714	3	1	2	0
S1-869309933	8	4	4	0
S1-105392988	5	2	3	0
S1-818151113	4	2	2	0
S1-605512774	3	0	3	1
S1-984412280	6	2	4	0
S1-663563711	2	1	1	0
S1-510003219	5	3	2	0
S1-791036924	3	2	1	0
S1-36330638	4	2	2	0
S1-176301807	2	1	1	0
S1-371170412	5	3	2	0
S1-524269445	3	1	2	0
S1-745738595	6	4	2	0
S1-270462238	3	2	1	0
S1-755834473	5	3	2	0
S1-595374997	5	2	3	0
S1-933385161	4	1	3	1
S1-49881738	2	1	1	0
S1-147273928	3	2	1	0
S1-691444971	4	1	3	0
S1-729015887	0	0	0	0
S1-191490925	6	4	2	0
S1-719228181	7	4	3	0
S1-531821671	7	2	5	0
S1-784308095	0	0	0	0
S1-642488269	3	2	1	0
S1-965347336	5	2	3	1
S1-749811795	3	0	3	0
S1-264497979	6	3	3	0
S1-43171728	5	3	2	0
S1-80116545	4	3	1	0
S1-922172765	8	3	5	0
S1-946841090	3	2	1	0
S1-988906261	1	0	1	0
S1-692582280	4	2	2	0
S1-296275997	7	2	5	0
S1-157455888	4	1	3	0
S1-56427257	6	1	5	0
S1-748276705	6	2	4	0
S1-52388284	6	3	3	0
S1-710558824	2	2	0	0
S1-437197292	0	0	0	0
S1-843565077	1	0	1	0
S1-454062783	4	1	3	0
S1-403391338	5	4	1	0
S1-416243756	3	3	0	0
